start_i,end_i,n_frames,start_src,end_src,start_sec,end_sec,arm1,arm2,arm3,arm4
10680,10795,116,10680,10795,356.0,359.8,force bipolar,camera,vessel sealer extend,fenestrated bipolar forceps
10796,10829,34,10796,10829,359.9,361.0,fenestrated bipolar forceps,camera,vessel sealer extend,fenestrated bipolar forceps
10830,10889,60,10830,10889,361.0,363.0,force bipolar,camera,vessel sealer extend,fenestrated bipolar forceps
10890,10919,30,10890,10919,363.0,364.0,force bipolar,camera,vessel sealer extend,
10920,11009,90,10920,11009,364.0,367.0,force bipolar,camera,vessel sealer extend,tip-up fenestrated grasper
11010,11069,60,11010,11069,367.0,369.0,force bipolar,camera,vessel sealer extend,fenestrated bipolar forceps
11070,11129,60,11070,11129,369.0,371.0,force bipolar,camera,vessel sealer extend,
11130,11279,150,11130,11279,371.0,376.0,force bipolar,camera,vessel sealer extend,fenestrated bipolar forceps
11280,11309,30,11280,11309,376.0,377.0,force bipolar,camera,vessel sealer extend,
11310,11429,120,11310,11429,377.0,381.0,force bipolar,camera,vessel sealer extend,tip-up fenestrated grasper
11430,11939,510,11430,11939,381.0,398.0,force bipolar,camera,vessel sealer extend,fenestrated bipolar forceps
11940,11999,60,11940,11999,398.0,400.0,fenestrated bipolar forceps,camera,vessel sealer extend,fenestrated bipolar forceps
12000,12089,90,12000,12089,400.0,403.0,force bipolar,camera,vessel sealer extend,fenestrated bipolar forceps
12090,12179,90,12090,12179,403.0,406.0,fenestrated bipolar forceps,camera,vessel sealer extend,fenestrated bipolar forceps
12180,12239,60,12180,12239,406.0,408.0,force bipolar,camera,vessel sealer extend,fenestrated bipolar forceps
12240,12299,60,12240,12299,408.0,410.0,force bipolar,camera,vessel sealer extend,tip-up fenestrated grasper
12300,12389,90,12300,12389,410.0,413.0,force bipolar,camera,vessel sealer extend,fenestrated bipolar forceps
12390,12419,30,12390,12419,413.0,414.0,force bipolar,camera,vessel sealer extend,
12420,12424,5,12420,12424,414.0,414.1,force bipolar,camera,vessel sealer extend,fenestrated bipolar forceps
12425,12509,85,12425,12509,414.2,417.0,fenestrated bipolar forceps,camera,vessel sealer extend,fenestrated bipolar forceps
12510,12539,30,12510,12539,417.0,418.0,force bipolar,camera,vessel sealer extend,fenestrated bipolar forceps
12540,12599,60,12540,12599,418.0,420.0,force bipolar,camera,vessel sealer extend,tip-up fenestrated grasper
12600,12659,60,12600,12659,420.0,422.0,force bipolar,camera,vessel sealer extend,fenestrated bipolar forceps
12660,12719,60,12660,12719,422.0,424.0,force bipolar,camera,vessel sealer extend,tip-up fenestrated grasper
12720,12839,120,12720,12839,424.0,428.0,force bipolar,camera,vessel sealer extend,fenestrated bipolar forceps
12840,12899,60,12840,12899,428.0,430.0,force bipolar,camera,vessel sealer extend,
12900,12959,60,12900,12959,430.0,432.0,force bipolar,camera,vessel sealer extend,fenestrated bipolar forceps
12960,13079,120,12960,13079,432.0,436.0,fenestrated bipolar forceps,camera,vessel sealer extend,fenestrated bipolar forceps
13080,13109,30,13080,13109,436.0,437.0,force bipolar,camera,vessel sealer extend,fenestrated bipolar forceps
13110,13229,120,13110,13229,437.0,441.0,fenestrated bipolar forceps,camera,vessel sealer extend,fenestrated bipolar forceps
13230,13469,240,13230,13469,441.0,449.0,force bipolar,camera,vessel sealer extend,fenestrated bipolar forceps
13470,13829,360,13470,13829,449.0,461.0,force bipolar,camera,vessel sealer extend,tip-up fenestrated grasper
13830,13889,60,13830,13889,461.0,463.0,fenestrated bipolar forceps,camera,vessel sealer extend,tip-up fenestrated grasper
13890,14189,300,13890,14189,463.0,473.0,force bipolar,camera,vessel sealer extend,tip-up fenestrated grasper
14190,14221,32,14190,14221,473.0,474.0,fenestrated bipolar forceps,camera,vessel sealer extend,tip-up fenestrated grasper
14222,14939,718,14222,14939,474.1,498.0,force bipolar,camera,vessel sealer extend,tip-up fenestrated grasper
14940,15029,90,14940,15029,498.0,501.0,fenestrated bipolar forceps,camera,vessel sealer extend,tip-up fenestrated grasper
15030,15595,566,15030,15595,501.0,519.8,force bipolar,camera,vessel sealer extend,tip-up fenestrated grasper
15596,15596,1,15596,15596,519.9,519.9,fenestrated bipolar forceps,camera,vessel sealer extend,tip-up fenestrated grasper
